Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Anh Cr,Chrome 126.0.0.0,,,23-07-2024 17:16:25,23-07-2024 17:16:45,20.084s,FAILED
,,,,,,,
Test Cases/Test2,Chrome 126.0.0.0,,,23-07-2024 17:16:40,23-07-2024 17:16:45,4.701s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,23-07-2024 17:16:40,23-07-2024 17:16:41,1.010s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,23-07-2024 17:16:41,23-07-2024 17:16:43,2.255s,PASSED
"switchToWindowTitle(""CURA Healthcare Service"")",Chrome 126.0.0.0,,,23-07-2024 17:16:43,23-07-2024 17:16:43,0.012s,PASSED
"click(findTestObject(""Object Repository/Test3/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,23-07-2024 17:16:43,23-07-2024 17:16:44,0.625s,PASSED
"doubleClick(findTestObject(""Object Repository/Test3/Page_CURA Healthcare Service/p_Please login to make appointment""))",Chrome 126.0.0.0,,,23-07-2024 17:16:44,23-07-2024 17:16:44,0.554s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Test3/Page_CURA Healthcare Service/p_Please login to make appointment""), 0)",Chrome 126.0.0.0,,,23-07-2024 17:16:44,23-07-2024 17:16:45,0.227s,PASSED
"verifyEqual(10, 11)",Chrome 126.0.0.0,,,23-07-2024 17:16:45,23-07-2024 17:16:45,0.002s,FAILED
