Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
G1,,,,11-09-2024 12:59:46,11-09-2024 13:00:27,41.214s,FAILED
,,,,,,,
Test Cases/Google,,,,11-09-2024 13:00:02,11-09-2024 13:00:04,2.574s,FAILED
"openBrowser("""")",,,,11-09-2024 13:00:02,11-09-2024 13:00:04,2.548s,FAILED
,,,,,,,
Test Cases/Google1,,,,11-09-2024 13:00:11,11-09-2024 13:00:13,2.177s,FAILED
"openBrowser("""")",,,,11-09-2024 13:00:11,11-09-2024 13:00:13,2.168s,FAILED
,,,,,,,
Test Cases/Google4,,,,11-09-2024 13:00:19,11-09-2024 13:00:20,1.185s,FAILED
"openBrowser("""")",,,,11-09-2024 13:00:19,11-09-2024 13:00:20,1.180s,FAILED
,,,,,,,
Test Cases/Google3,,,,11-09-2024 13:00:23,11-09-2024 13:00:24,0.873s,FAILED
"openBrowser("""")",,,,11-09-2024 13:00:23,11-09-2024 13:00:24,0.868s,FAILED
,,,,,,,
Test Cases/Google2,,,,11-09-2024 13:00:26,11-09-2024 13:00:27,0.922s,FAILED
"openBrowser("""")",,,,11-09-2024 13:00:26,11-09-2024 13:00:27,0.918s,FAILED
